team,type,possession_time,avg_gain,safeties,turnovers,play_count,rush_plays,total_yards,fumbles,lost_fumbles,penalties,penalty_yards,return_yards,avg_yards,attempts,touchdowns,tlost,tlost_yards,yards,longest,redzone_attempts,broken_tackles,kneel_downs,scrambles,yards_after_contact
Chiefs,1,27:22,5.1,0,1,62,23,316,0,0,3,25,16,3.913,23,0,2,-4,90,16,1,0,0,6,12
Lions,0,32:38,5.3,0,1,70,34,368,2,1,4,63,66,3.471,34,1,2,-3,118,18,6,7,3,0,46
Saints,1,28:40,5.5,0,2,64,27,351,2,1,7,45,11,2.556,27,0,3,-8,69,11,4,0,2,1,17
Titans,0,31:20,4.8,0,3,59,22,285,0,0,6,45,47,4.727,22,0,1,-2,104,18,3,0,0,3,31
Colts,1,26:23,4.1,0,3,69,26,280,2,2,4,35,54,2.5,26,1,2,-5,65,12,8,0,0,4,27
Jaguars,0,33:37,5.0,0,2,69,35,342,3,1,4,45,58,3.0,35,2,6,-13,105,26,5,7,1,2,54
Vikings,1,29:21,5.9,0,3,63,17,369,2,2,6,45,18,2.412,17,0,4,-6,41,9,4,0,0,1,23
Buccaneers,0,30:39,3.6,0,0,68,33,242,0,0,3,19,43,2.212,33,0,1,-1,73,6,2,0,3,3,33
Commanders,1,31:24,3.8,0,3,65,28,248,2,2,8,70,10,3.286,28,1,2,-4,92,7,7,1,0,2,5
Cardinals,0,28:36,3.6,0,2,58,25,210,3,2,9,122,25,3.84,25,0,7,-16,96,29,1,5,0,0,14
Steelers,1,22:37,3.9,0,2,61,10,239,0,0,6,60,2,4.1,10,0,1,-2,41,24,1,0,0,1,10
49ers,0,37:23,5.9,0,1,66,34,391,3,1,11,85,78,5.529,34,1,5,-6,188,65,2,1,3,2,124
Browns,1,35:50,4.9,0,2,72,40,350,2,1,5,43,15,5.15,40,1,3,-8,206,19,3,2,0,3,76
Bengals,0,24:10,2.6,0,0,54,20,142,0,0,4,20,44,3.75,20,0,1,-3,75,22,0,1,2,0,53
Falcons,1,25:19,4.6,0,0,48,26,221,1,0,6,43,7,5.0,26,2,2,-6,130,22,5,7,1,0,84
Panthers,0,34:41,3.9,0,3,72,32,281,2,1,9,66,14,4.813,32,0,4,-6,154,21,4,5,0,2,65
Ravens,1,30:55,4.6,0,2,58,32,265,2,1,13,106,0,3.438,32,3,1,-4,110,14,6,3,0,5,36
Texans,0,29:05,3.7,0,1,72,23,268,1,1,9,88,24,3.13,23,0,1,-1,72,11,1,3,0,4,20
Bears,1,30:43,4.4,0,2,70,29,311,1,1,7,61,16,4.207,29,1,3,-10,122,12,2,4,0,7,48
Packers,0,29:17,5.5,0,0,60,32,329,2,0,9,90,91,2.875,32,1,6,-14,92,10,5,5,0,2,53
Patriots,1,29:12,4.9,0,2,78,22,382,2,1,7,50,21,3.455,22,0,2,-2,76,11,3,0,0,2,5
Eagles,0,30:48,4.1,0,1,61,25,251,1,1,5,49,100,3.88,25,0,1,-1,97,16,3,2,1,2,12
Seahawks,1,20:37,3.9,0,0,46,18,180,0,0,7,55,18,4.722,18,0,1,-1,85,15,2,1,0,1,9
Rams,0,39:23,5.5,0,0,78,40,426,0,0,7,53,7,2.3,40,3,6,-18,92,12,8,4,0,1,33
Chargers,1,32:41,5.7,0,0,76,40,433,0,0,6,70,12,5.825,40,3,1,-1,233,55,12,5,0,0,83
Dolphins,0,27:19,8.2,0,2,65,20,536,2,1,6,38,0,3.5,20,1,4,-14,70,12,5,3,2,0,26
Broncos,1,32:08,4.5,0,0,58,22,260,0,0,10,83,0,4.273,22,0,2,-3,94,12,1,2,0,1,80
Raiders,0,27:52,4.7,0,1,55,29,261,1,0,10,97,0,2.103,29,0,2,-3,61,8,8,2,4,3,44
Giants,1,33:28,2.6,0,3,65,28,171,5,1,6,72,7,3.857,28,0,3,-9,108,18,4,0,0,7,48
Cowboys,0,26:32,4.8,0,0,55,30,265,1,0,5,35,39,4.067,30,3,2,-7,122,25,9,0,0,0,44
Jets,1,27:50,5.5,0,1,53,28,289,1,0,2,10,66,6.143,28,0,4,-12,172,83,8,2,2,1,124
Bills,0,33:08,4.6,0,4,68,22,314,2,1,5,40,17,4.409,22,0,3,-7,97,14,1,0,0,4,59
